,Date,Open,Volume,cases,deaths,c_dif,d_dif,o_dif,sc,so
307,2021-04-12,3.47,2607500,31283990,562024,103085.0,524.0,-0.03999999999999959,1.0,-1.0
308,2021-04-13,3.37,1950100,31361311,563007,-107346.0,-487.0,-0.10000000000000009,-1.0,-1.0
309,2021-04-14,3.34,3486100,31437061,563942,-1571.0,-48.0,-0.03000000000000025,-1.0,-1.0
310,2021-04-15,3.5,3444000,31510755,564859,-2056.0,-18.0,0.16000000000000014,-1.0,1.0
311,2021-04-16,3.32,2494800,31589109,565794,4660.0,18.0,-0.18000000000000016,1.0,-1.0
312,2021-04-19,3.15,2181400,31754642,567314,87179.0,585.0,-0.16999999999999993,1.0,-1.0
313,2021-04-20,3.21,3078300,31815666,568146,-104509.0,-688.0,0.06000000000000005,-1.0,1.0
314,2021-04-21,2.98,2478000,31878161,568986,1471.0,8.0,-0.22999999999999998,1.0,-1.0
315,2021-04-22,3.11,2243100,31944402,569897,3746.0,71.0,0.1299999999999999,1.0,1.0
316,2021-04-23,3.07,1307600,32008186,570770,-2457.0,-38.0,-0.040000000000000036,-1.0,-1.0
317,2021-04-26,3.03,2114600,32139580,572256,67610.0,613.0,-0.040000000000000036,1.0,-1.0
318,2021-04-27,3.21,1526500,32191457,572969,-79517.0,-773.0,0.18000000000000016,-1.0,1.0
319,2021-04-28,3.18,3208000,32246275,573903,2941.0,221.0,-0.029999999999999805,1.0,-1.0
320,2021-04-29,3.46,3255400,32303857,574777,2764.0,-60.0,0.2799999999999998,1.0,1.0
321,2021-04-30,3.38,2385400,32362374,575637,935.0,-14.0,-0.08000000000000007,1.0,-1.0
322,2021-05-03,3.35,2003400,32486709,577123,65818.0,626.0,-0.029999999999999805,1.0,-1.0
323,2021-05-04,3.45,3125900,32527664,578030,-83380.0,-579.0,0.10000000000000009,-1.0,1.0
324,2021-05-05,3.49,3252800,32572383,578806,3764.0,-131.0,0.040000000000000036,1.0,1.0
325,2021-05-06,3.43,2683500,32620077,579638,2975.0,56.0,-0.06000000000000005,1.0,-1.0
326,2021-05-07,3.37,2830500,32667570,580450,-201.0,-20.0,-0.06000000000000005,-1.0,-1.0
327,2021-05-10,3.65,2214800,32760121,581670,45058.0,408.0,0.2799999999999998,1.0,1.0
328,2021-05-11,3.39,2813500,32794162,582363,-58510.0,-527.0,-0.2599999999999998,-1.0,-1.0
329,2021-05-12,3.56,3968800,32829645,583211,1442.0,155.0,0.16999999999999993,1.0,1.0
330,2021-05-13,3.55,2961000,32868084,583991,2956.0,-68.0,-0.010000000000000231,1.0,-1.0
331,2021-05-14,3.55,2340000,32909065,584723,2542.0,-48.0,0.0,1.0,0.0
332,2021-05-17,3.67,2104300,32984032,585958,33986.0,503.0,0.1200000000000001,1.0,1.0
333,2021-05-18,3.83,2212300,33011895,586825,-47104.0,-368.0,0.16000000000000014,-1.0,1.0
